timestamp,uint8__MODE,uint8__RESET_CAUSE,uint32__UPTIME,uint16__ERROR,uint16__RC_CNT_PWRON,uint16__RC_CNT_WDG,uint16__RC_CNT_CMD,uint16__RC_CNT_MCU,uint16__RC_CNT_EMLOPO,uint32__UNIX_TIME,uint32__UNIX_YEAR,uint32__UNIX_MONTH,uint32__UNIX_DAY,uint32__UNIX_HOUR,uint32__UNIX_MINUTE,uint32__UNIX_SECOND
2024-10-31 08:38:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 08:39:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 08:39:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 08:40:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 08:40:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 08:41:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 08:41:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 08:42:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 08:42:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 08:43:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 08:43:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 08:44:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 08:44:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 08:45:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 08:45:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 08:46:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 08:46:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 08:47:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 08:47:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 08:48:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 08:48:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 08:49:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 08:49:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 08:50:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 08:50:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 08:51:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 08:51:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 08:52:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 08:52:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 08:53:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 08:53:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 08:54:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 08:54:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 08:55:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 08:55:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 08:56:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 08:56:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 08:57:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 08:57:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 08:58:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 08:58:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 08:59:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 08:59:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 09:00:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 09:00:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 09:01:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 09:02:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 09:02:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 09:03:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 09:03:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 09:04:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 09:04:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 09:05:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 09:06:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 09:06:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31 09:07:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
